"Rk.x","Player","Player_Href.x","Nation.x","Pos.x","Squad.x","Age.x","Born.x","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","Matches.x","url.x","Rk.y","Player_Href.y","Nation.y","Pos.y","Squad.y","Age.y","Born.y","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected.y","npxG_Expected.y","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Matches.y","url.y","Rk.x.x","Player_Href.x.x","Nation.x.x","Pos.x.x","Squad.x.x","Age.x.x","Born.x.x","Mins_Per_90.y","CrdY.y","CrdR.y","2CrdY","Fls","Fld","Off","Crs","Int.x","TklW","PKwon","PKcon","OG","Recov","Won_Aerial Duels","Lost_Aerial Duels","Won_percent_Aerial Duels","Matches.x.x","url.x.x","Rk.y.y","Player_Href.y.y","Nation.y.y","Pos.y.y","Squad.y.y","Age.y.y","Born.y.y","Mins_Per_90.x.x","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches.y.y","url.y.y","Rk","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90.y.y","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int.y","Tkl+Int","Clr","Err","Matches","url"
1,"Azeem Abdulai","/en/players/a0893a41/Azeem-Abdulai","sct SCO","DF,FW","Swansea City",20,2002,7,0,139,1.5,0,1,1,0,0,0,1,0,0,0,0.1,0.1,5,9,18,0,0.65,0.65,0,0.65,0,0.06,0.06,0,0.06,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",1,"/en/players/a0893a41/Azeem-Abdulai","sct SCO","DF,FW","Swansea City",20,2002,1.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",1,"/en/players/a0893a41/Azeem-Abdulai","sct SCO","DF,FW","Swansea City",20,2002,1.5,1,0,0,0,6,0,7,4,4,0,0,0,7,4,2,66.7,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",1,"/en/players/a0893a41/Azeem-Abdulai","sct SCO","DF,FW","Swansea City",20,2002,1.5,6,3.86,6,0,0,0,0,0,1,0.64,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",1,"/en/players/a0893a41/Azeem-Abdulai","sct SCO","DF,FW","Swansea City",20,2002,1.5,6,4,3,2,1,4,7,57.1,3,4,0,4,4,10,6,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
2,"Ken Aboh","/en/players/282cee33/Ken-Aboh","eng ENG","MF","Norwich City",18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",2,"/en/players/282cee33/Ken-Aboh","eng ENG","MF","Norwich City",18,2004,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",2,"/en/players/282cee33/Ken-Aboh","eng ENG","MF","Norwich City",18,2004,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",2,"/en/players/282cee33/Ken-Aboh","eng ENG","MF","Norwich City",18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",2,"/en/players/282cee33/Ken-Aboh","eng ENG","MF","Norwich City",18,2004,0.1,1,1,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
3,"Che Adams","/en/players/f2bf1b0f/Che-Adams","sct SCO","FW","Southampton",27,1996,40,25,2289,25.4,16,4,20,16,0,0,5,0,13.6,13.6,3.6,17.2,21,88,150,0.63,0.16,0.79,0.63,0.79,0.53,0.14,0.68,0.53,0.68,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",3,"/en/players/f2bf1b0f/Che-Adams","sct SCO","FW","Southampton",27,1996,25.4,16,80,31,38.8,3.15,1.22,0.2,0.52,16.4,0,0,0,13.6,13.6,0.17,2.4,2.4,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",3,"/en/players/f2bf1b0f/Che-Adams","sct SCO","FW","Southampton",27,1996,25.4,5,0,0,35,44,18,7,5,15,0,0,0,60,20,29,40.8,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",3,"/en/players/f2bf1b0f/Che-Adams","sct SCO","FW","Southampton",27,1996,25.4,66,2.59,53,0,1,10,2,0,11,0.43,9,0,0,2,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",3,"/en/players/f2bf1b0f/Che-Adams","sct SCO","FW","Southampton",27,1996,25.4,19,15,3,9,7,8,12,66.7,4,18,7,11,5,24,11,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
4,"Ebou Adams","/en/players/84d7ae33/Ebou-Adams","gm GAM","MF,DF","Cardiff City",27,1996,11,3,310,3.4,0,0,0,0,0,0,4,0,0,0,0,0,2,5,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",4,"/en/players/84d7ae33/Ebou-Adams","gm GAM","MF,DF","Cardiff City",27,1996,3.4,0,2,0,0,0.58,0,0,NA,25.6,0,0,0,0,0,0.02,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",4,"/en/players/84d7ae33/Ebou-Adams","gm GAM","MF,DF","Cardiff City",27,1996,3.4,4,0,0,10,5,0,1,5,12,0,0,0,23,15,1,93.8,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",4,"/en/players/84d7ae33/Ebou-Adams","gm GAM","MF,DF","Cardiff City",27,1996,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",4,"/en/players/84d7ae33/Ebou-Adams","gm GAM","MF,DF","Cardiff City",27,1996,3.4,16,12,11,4,1,9,11,81.8,2,3,0,3,5,21,18,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
5,"Albert Adomah","/en/players/c7174e81/Albert-Adomah","gh GHA","DF,FW","QPR",35,1987,16,2,370,4.1,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,10,1,26,0,0,0,0,0,0.04,0.1,0.13,0.04,0.13,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",5,"/en/players/c7174e81/Albert-Adomah","gh GHA","DF,FW","QPR",35,1987,4.1,0,2,0,0,0.49,0,0,NA,16.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",5,"/en/players/c7174e81/Albert-Adomah","gh GHA","DF,FW","QPR",35,1987,4.1,2,0,0,7,2,1,15,3,9,0,0,1,23,3,9,25,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",5,"/en/players/c7174e81/Albert-Adomah","gh GHA","DF,FW","QPR",35,1987,4.1,6,1.46,5,0,0,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",5,"/en/players/c7174e81/Albert-Adomah","gh GHA","DF,FW","QPR",35,1987,4.1,20,9,10,7,3,6,15,40,9,5,0,5,3,23,8,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
6,"Emanuel Aiwum","/en/players/d810c13b/Emanuel-Aiwum","at AUT","DF","Birmingham City",22,2000,24,22,1941,21.6,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.9,3,50,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",6,"/en/players/d810c13b/Emanuel-Aiwum","at AUT","DF","Birmingham City",22,2000,21.6,0,5,2,40,0.23,0.09,0,0,9.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",6,"/en/players/d810c13b/Emanuel-Aiwum","at AUT","DF","Birmingham City",22,2000,21.6,4,0,0,14,21,0,3,20,27,0,0,0,83,33,34,49.3,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",6,"/en/players/d810c13b/Emanuel-Aiwum","at AUT","DF","Birmingham City",22,2000,21.6,14,0.65,11,0,0,2,0,1,1,0.05,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",6,"/en/players/d810c13b/Emanuel-Aiwum","at AUT","DF","Birmingham City",22,2000,21.6,45,27,26,17,2,28,34,82.4,6,44,27,17,20,65,85,2,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
7,"Semi Ajayi","/en/players/d6192210/Semi-Ajayi","ng NGA","DF","West Brom",29,1993,26,10,1210,13.4,2,1,3,2,0,0,1,0,0.9,0.9,0.2,1.1,21,44,2,0.15,0.07,0.22,0.15,0.22,0.07,0.01,0.08,0.07,0.08,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",7,"/en/players/d6192210/Semi-Ajayi","ng NGA","DF","West Brom",29,1993,13.4,2,6,2,33.3,0.45,0.15,0.33,1,8.4,0,0,0,0.9,0.9,0.16,1.1,1.1,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",7,"/en/players/d6192210/Semi-Ajayi","ng NGA","DF","West Brom",29,1993,13.4,1,0,0,9,6,1,9,10,12,0,0,0,60,35,28,55.6,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",7,"/en/players/d6192210/Semi-Ajayi","ng NGA","DF","West Brom",29,1993,13.4,10,0.74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",7,"/en/players/d6192210/Semi-Ajayi","ng NGA","DF","West Brom",29,1993,13.4,19,12,11,6,2,9,15,60,6,9,5,4,10,29,30,1,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
8,"Yunus Akgün","/en/players/1453e3cf/Yunus-Akgun","tr TUR","MF,FW","Leicester City",23,2000,23,9,890,9.9,1,2,3,1,0,0,1,0,1.2,1.2,1.6,2.8,24,27,80,0.1,0.2,0.3,0.1,0.3,0.12,0.16,0.28,0.12,0.28,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",8,"/en/players/1453e3cf/Yunus-Akgun","tr TUR","MF,FW","Leicester City",23,2000,9.9,1,16,3,18.8,1.62,0.3,0.06,0.33,16.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",8,"/en/players/1453e3cf/Yunus-Akgun","tr TUR","MF,FW","Leicester City",23,2000,9.9,1,0,0,12,9,1,17,6,10,0,0,0,49,4,12,25,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",8,"/en/players/1453e3cf/Yunus-Akgun","tr TUR","MF,FW","Leicester City",23,2000,9.9,32,3.24,23,3,2,1,2,1,4,0.4,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",8,"/en/players/1453e3cf/Yunus-Akgun","tr TUR","MF,FW","Leicester City",23,2000,9.9,16,10,5,7,4,4,11,36.4,7,10,0,10,6,22,3,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
9,"Marc Albrighton","/en/players/b827d5b3/Marc-Albrighton","eng ENG","FW","Leicester City",33,1989,12,0,129,1.4,0,0,0,0,0,0,0,0,0,0,0.8,0.8,6,8,20,0,0,0,0,0,0.03,0.53,0.56,0.03,0.56,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",9,"/en/players/b827d5b3/Marc-Albrighton","eng ENG","FW","Leicester City",33,1989,1.4,0,1,0,0,0.7,0,0,NA,16.6,0,0,0,0,0,0.04,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",9,"/en/players/b827d5b3/Marc-Albrighton","eng ENG","FW","Leicester City",33,1989,1.4,0,0,0,0,2,0,27,2,4,0,0,0,10,1,0,100,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",9,"/en/players/b827d5b3/Marc-Albrighton","eng ENG","FW","Leicester City",33,1989,1.4,10,7.03,6,3,0,0,0,1,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",9,"/en/players/b827d5b3/Marc-Albrighton","eng ENG","FW","Leicester City",33,1989,1.4,5,4,1,3,1,3,5,60,2,2,0,2,2,7,3,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
10,"Carlos Alcaraz","/en/players/4abac767/Carlos-Alcaraz","ar ARG","MF,FW","Southampton",20,2002,23,13,1102,12.2,3,1,4,3,0,1,4,0,4.4,3.6,1.1,4.6,28,78,74,0.25,0.08,0.33,0.25,0.33,0.36,0.09,0.44,0.29,0.38,"Matches","https://fbref.com/en/comps/10/2023-2024/stats/2023-2024-Championship-Stats",10,"/en/players/4abac767/Carlos-Alcaraz","ar ARG","MF,FW","Southampton",20,2002,12.2,3,40,16,40,3.27,1.31,0.08,0.19,19.5,3,0,1,4.4,3.6,0.09,-1.4,-0.6,"Matches","https://fbref.com/en/comps/10/2023-2024/shooting/2023-2024-Championship-Stats",10,"/en/players/4abac767/Carlos-Alcaraz","ar ARG","MF,FW","Southampton",20,2002,12.2,4,0,0,8,15,3,5,6,18,0,0,0,60,18,13,58.1,"Matches","https://fbref.com/en/comps/10/2023-2024/misc/2023-2024-Championship-Stats",10,"/en/players/4abac767/Carlos-Alcaraz","ar ARG","MF,FW","Southampton",20,2002,12.2,47,3.83,36,0,6,3,1,1,4,0.33,4,0,0,0,0,0,"Matches","https://fbref.com/en/comps/10/2023-2024/gca/2023-2024-Championship-Stats",10,"/en/players/4abac767/Carlos-Alcaraz","ar ARG","MF,FW","Southampton",20,2002,12.2,29,18,6,15,8,15,28,53.6,13,21,2,19,6,35,14,0,"Matches","https://fbref.com/en/comps/10/2023-2024/defense/2023-2024-Championship-Stats"
